"基金","持有人數"
"1","64KNN(L)環球高收益基金X股(月配)(美元)",4345
"2","L17聯博全球高收益債券基金AT股",3985
"3","MU7(百元基金)貝萊德世界礦業基金(美元)",3803
"4","72C聯博全球高收益債券基金BA(穩定月配)級別美元",3618
"5","T34安聯收益成長基金-AM(穩定月收類股)(美元)",2843
"6","73J聯博全球高收益債券基金BA(穩定月配)南非幣避險級別",2175
"7","L91聯博全球高收益債券基金AA(穩定月配)級別美元",2071
"8","52X鋒裕環球高收益基金AXD配息(美元)",2029
"9","J99摩根多重收益基金-JPM-A股每月派息(美元對沖)",1908
"10","L0C聯博全球高收益債券基金AA(穩定月配)南非幣避險級別",1703
"11","68SNN(L)環球高收益基金X股(月配)(澳幣對沖)",1649
"12","Y11富蘭克林坦伯頓全球公司債基金(月配息)",1352
"13","63Z(百元基金)貝萊德中國基金A2(美元)",1245
"14","MW6(百元基金)貝萊德拉丁美洲基金(美元)",1245
"15","F24富達新興市場基金-配息帳戶-美元",1200
"16","72D聯博全球高收益債券基金BA(穩定月配)澳幣避險級別",1110
"17","69I瀚亞美國高收益債券基金AZDM月配(南非幣避險) ",1057
"18","270永豐南非幣2021保本基金",1025
"19","162柏瑞全球策略高收益債券基金B(月配息)",997
"20","UN8(百元基金)永豐滬深300紅利指數基金",932
"21","505富蘭克林坦伯頓全球公司債基金B股(月配息)",922
"22","MT8(百元基金)貝萊德新興歐洲基金(美元)",895
"23","68ENN(L)環球高收益基金Y股(月配)(美元)",844
"24","677鋒裕策略收益基金AXD配息(美元)",843
"25","T35安聯收益成長基金-AM(穩定月收類股)(澳幣避險)",823
"26","J78摩根環球高收益債券基金-JPM-A股每月派息(美元)",820
"27","L92聯博全球高收益債券基金AA(穩定月配)澳幣避險級別",801
"28","J21(百元基金)摩根印度基金",785
"29","J07(百元基金)摩根東協基金",764
"30","MB4(百元基金)貝萊德世界健康科學基金(美元)",748
"31","MS6(百元基金)貝萊德新興市場基金",748
"32","J84(百元基金)摩根俄羅斯基金-JPM-A股分派(美元)",739
"33","Y57富蘭克林坦伯頓全球新興國家固定收益基金A股(月配息)(美元)",724
"34","MZ8(百元基金)貝萊德新能源基金(美元)",718
"35","T38安聯收益成長基金-AM(穩定月收類股)(南非幣避險)",696
"36","54X鋒裕環球高收益基金BXD配息(美元)",680
"37","Y48富蘭克林坦伯頓全球穩定月收益基金A股(月配息)(美元)",676
"38","Y38(百元基金)富蘭克林坦伯頓全球生技領航基金(美元)",673
"39","J80(百元基金)摩根中國基金-JPM-A股分派(美元)",660
"40","249宏利澳幣保本基金",638
"41","MU5(百元基金)貝萊德世界黃金基金(美元)",636
"42","78F施羅德環球股息AX配息基金(美元)",616
"43","GJ8第一金中國世紀基金",605
"44","Y07富蘭克林坦伯頓全球全球債券基金(月配息)(美元)",595
"45","L75聯博全球高收益債券基金AT股澳幣避險",583
"46","MB0(百元基金)貝萊德世界能源基金(美元)",582
"47","83F路博邁投資基金-NB新興市場股票基金T累積類股(美元)",565
"48","Y04(百元基金)富蘭克林坦伯頓全球亞洲成長基金(年配權)",563
"49","J00摩根亞太入息基金-JPM-A股每月派息(美元)",556
"50","J87(百元基金)摩根環球天然資源基金-JPM-A股累計(美元)",546
"51","X01(百元基金)富蘭克林黃金基金(年配權)",545
"52","225復華南非幣長期收益基金B類型-月配息",541
